"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"90","5/18/2015","15:58","S14","0",0,0,0,0,0,0,0,7
"91","5/18/2015","16:41","S13","9",0,0,0,0,0,0,0,1
"92","5/18/2015","17:08","S12","nd",0,0,0,0,0,0,0,0
"93","5/18/2015","17:30","S11","nd",0,0,0,0,0,0,0,0
"94","5/18/2015","17:56","S10","0",0,0,0,0,0,0,0,0
"95","5/18/2015","18:19","S5","0",0,0,0,0,0,0,0,0
"96","5/18/2015","18:37","S4","0",0,0,0,0,0,0,0,0
"97","5/18/2015","18:55","S3","0",0,0,0,0,0,0,0,0
"98","5/18/2015","nd","S2","nd",0,0,0,0,0,0,0,0
"99","5/18/2015","19:42","S1","5",0,0,0,0,0,0,0,0
"100","5/29/2015","nd","C1","0",0,0,0,0,0,0,0,0
"101","5/29/2015","nd","C2","0",0,0,0,0,0,0,0,0
"102","5/29/2015","nd","C3","5",0,0,0,0,0,0,0,0
"103","5/29/2015","nd","C4","4",0,0,0,0,0,0,0,0
"104","5/29/2015","nd","C5","1",0,0,0,0,0,0,0,0
"105","5/29/2015","nd","C6","5",0,0,0,0,0,0,0,0
"106","5/29/2015","nd","C7","0",0,0,0,0,0,0,0,3
"107","5/29/2015","nd","C8","0",0,0,0,0,0,0,0,0
"108","5/29/2015","nd","C9","1",0,0,0,0,0,0,0,0
"109","5/29/2015","nd","C10","0",0,0,0,0,0,0,0,0
"110","5/29/2015","nd","C11","0",0,0,0,0,0,0,0,0
"111","5/29/2015","nd","C12","0",0,0,0,0,0,0,0,0
"112","5/29/2015","nd","C13","0",0,0,0,0,0,0,0,0
"113","5/29/2015","nd","C14","0",0,0,0,0,0,0,0,0
"114","5/29/2015","nd","S1","0",0,0,0,0,0,0,0,0
"115","5/29/2015","nd","S2","nd",0,0,0,0,0,0,0,2
"116","5/29/2015","nd","S3","0",0,0,0,0,0,0,0,14
"117","5/29/2015","nd","S15","0",0,0,0,0,0,0,0,0
"118","5/29/2015","nd","S16","9",0,0,0,0,0,0,0,0
"119","5/29/2015","nd","S17","3",0,0,0,0,0,0,0,0
"120","5/29/2015","nd","S18","0",0,0,0,0,0,0,0,0
"121","6/3/2015","nd","N1","0",0,0,0,0,0,0,0,0
"122","6/3/2015","nd","N3","0",0,0,0,0,0,0,0,0
"123","6/3/2015","nd","N4","nd",0,0,0,0,0,0,0,0
"124","6/3/2015","nd","N5","0",0,0,0,0,0,0,0,0
"125","6/3/2015","nd","N6","0",0,0,0,0,0,0,0,0
"126","6/3/2015","nd","N7","0",0,0,0,0,0,0,0,0
"127","6/3/2015","nd","N10","0",0,0,0,0,0,0,0,0
"128","6/3/2015","nd","N11","0",0,0,0,0,0,0,0,0
"129","6/3/2015","nd","N13","0",0,0,0,0,0,0,0,0
"130","6/3/2015","nd","N14","0",0,0,0,0,0,0,0,0
"131","6/3/2015","nd","N15","0",0,0,0,0,0,0,0,0
"132","6/3/2015","nd","N16","0",0,0,0,0,0,0,0,0
"133","6/3/2015","nd","N12","0",0,0,0,0,0,0,0,0
"134","10/21/2015","9:21","S1","0",0,0,0,1,0,0,0,0
"135","10/21/2015","9:49","S2","0",0,0,0,2,0,0,0,0
"136","10/21/2015","10:11","S3","0",0,0,0,7,0,0,0,2
"137","10/21/2015","10:27","S4","0",0,0,0,10,0,0,0,0
"138","10/21/2015","10:46","S5","0",0,0,0,2,0,0,0,2
"139","10/21/2015","11:07","S6","0",0,0,0,4,0,0,0,0
"140","10/21/2015","11:28","S7","0",0,0,0,6,0,0,0,2
"141","10/21/2015","11:43","S8","2",0,0,0,33,0,0,0,0
"142","10/21/2015","12:06","S9","0",0,0,0,13,0,0,0,1
"143","10/21/2015","12:57","S10","0",0,0,0,0,0,0,0,8
"144","10/21/2015","13:20","S11","0",0,0,0,133,0,0,0,14
"145","10/21/2015","13:46","S12","0",0,0,0,7,0,0,0,0
"146","10/21/2015","14:07","S13","0",0,0,0,2,0,0,0,0
"147","10/21/2015","14:24","S14","0",0,0,0,0,0,0,0,0
"148","10/21/2015","14:41","S15","0",0,0,0,23,0,0,0,0
"149","10/21/2015","14:58","S16","1",0,0,0,0,0,0,0,1
"150","10/21/2015","15:16","S17","0",0,0,0,6,0,0,0,0
"151","10/21/2015","15:31","S18","0",0,0,0,15,0,0,0,3
"152","10/21/2015","16:01","C8","0",0,0,0,52,0,0,0,0
"153","10/21/2015","16:19","C9","0",0,0,0,16,0,0,0,5
"154","10/21/2015","16:39","C10","0",0,0,0,16,0,0,0,1
"155","10/21/2015","16:55","C11","0",0,0,0,23,0,0,0,0
"156","10/21/2015","17:15","C12","0",0,0,0,2,0,0,0,0
"157","10/21/2015","17:34","C14","0",0,0,0,0,0,0,0,1
"158","10/21/2015","17:43","C13","0",0,0,0,2,0,0,0,0
